municipio,nit,fecha,secretaria,objeto,justificacion,valor,meta_producto,eje,sector,codigo_bpim,estado,creado_por
Municipio de Supatá,899999398-5,2026-03-07,Secretaría de Desarrollo Social y Comunitario,"PRESTACION DE SERVICIOS PARA LA ORGANIZACION, REALIZACION Y APOYO LOGISTICO CON SUMINISTRO DE ELEMENTOS PARA EL DESARROLLO DEL PROGRAMA CANITAS DE AMOR EN EL SECTOR RURAL Y URBANO DEL MUNICIPIO DE SUPATÁ CUNDINAMARCA.","La Secretaria de Desarrollo Social y Comunitario, busca garantizar los derechos y protección de la población adulto mayor que pertenecen al programa CENTRO DIA, tanto en el sector rural como urbano; desde la atención integral y diferencial, buscando diseño y desarrollo de espacios seguros para el pleno goce de sus derechos, una atención integral donde la seguridad alimentaria sea un mecanismo articulador que garantice el envejecimiento activo desde la estrategia de Rehabilitación basada en comunidad; así con el suministro de víveres de calidad que aporten al suministro de una alimentación balanceada y nutritiva que permita la conservación del bienestar de los participantes con el consumo de un refrigerio y/o almuerzo reforzado durante la jornada de actividades propias del programa.
Desde la administración municipal se reconoce la corresponsabilidad en la garantía de un envejecimiento activo y de bienestar desde todos los componentes y para esto asegurar la alimentación balanceada garantiza que los adultos mayores tengan acceso físico a alimentos inocuos y nutritivos que satisfagan sus necesidades energéticas disminuidas.",$ 46.852.011,Mentener el Programa Centro Día Urbano y rural para el beneficio,POR EL SUPATÁ SOÑADO AVANZAMOS JUNTOS EN LA LÍNEA ESTRATÉGICA SOCIAL,POBLACIÓN VULNERABLE - CAPITULO ADULTO MAYOR,2024257770014,generado,
Municipio de Supatá,899999398-5,2026-03-18,Secretaría de Desarrollo Social y Comunitario,"“SUMINISTRO DE REFRIGERIOS, ALMUERZOS Y/O BIENES DE CONSUMO DESTINADOS AL DESARROLLO DE EVENTOS Y/O ACTIVIDADES CULTURALES, RECREATIVAS Y DEPORTIVAS, ASÍ COMO PARA LA ATENCIÓN DE LAS JORNADAS ELECTORALES QUE SE REALICEN EN EL MUNICIPIO DE SUPATÁ CUNDINAMARCA, BAJO EL SISTEMA DE MONTO AGOTABLE Y COTIZACIÓN INDIVIDUAL”. / www .supoto-cundinomorco.gov.co / @olcoldío-supoto","Las actividades culturales, recreativas y deportivas que organiza o en las que participa el municipio constituyen espacios de integración comunitaria, fortalecimiento del tejido social, promoción de hábitos de vida saludable, preservación de la identidad cultural y generación de escenarios de convivencia pacífica. En estos eventos participan deportistas, artistas, gestores culturales, monitores, delegaciones visitantes, funcionarios de apoyo logístico y miembros de la comunidad, quienes desarrollan jornadas extensas que requieren condiciones básicas de bienestar, entre ellas la disponibilidad de alimentación adecuada mediante refrigerios y almuerzos. De igual manera, durante la vigencia 2026 se prevé la realización de jornadas electorales, procesos que implican la participación de jurados de votación, personal logístico, autoridades administrativas y demás actores que garantizan el correcto desarrollo de los comicios. Estas jornadas se caracterizan por su larga duración, iniciando desde tempranas horas de la mañana hasta finalizar el proceso de escrutinio preliminar, lo cual hace necesario brindar suministro en alimentación, con el fin de facilitar el cumplimiento de las funciones asignadas y garantizar el normal desarrollo del proceso democrático. En este sentido, el Municipio de Supatá requiere contratar el suministro de refrigerios y almuerzos que permitan atender oportunamente las necesidades logísticas derivadas de dichas actividades, garantizando condiciones adecuadas para los participantes y contribuyendo al éxito de los eventos programados por la administración municipal. La contratación se realizará bajo la modalidad de mínima cuantía, conforme a los principios de economía, transparencia, planeación y selección objetiva que rigen la contratación estatal.",$ 41.000.000,Organizar 4 eventos artísticos y culturales anualmente,POR EL SUPATÁ SOÑADO AVANZAMOS JUNTOS EN LA LÍNEA ESTRATÉGICA SOCIAL,CULTURA,2024257770009,generado,admin
Municipio de Supatá,899999398-5,2026-01-30,Secretaría General y de Gobierno,"PRESTACION DE SERVICIOS DE APOYO A LA GESTION EN LA CONSERVACION, ORGANIZACION Y CONTROL DEL ARCHIVO CENTRAL DE LA ALCALDIA MUNICIPAL DE SUPATÁ CUNDINAMARCA / www .supoto-cundinomorco.gov.co / @olcoldío-supoto","Una vez revisada la integración de la planta de personal global de la entidad, según certificación expedida por la Secretaria General y de Gobierno, se puede establecer que no existe personal suficiente e idóneo que pueda prestar los servicios requeridos en los asuntos de que trata el presente estudio previo. Igualmente es pertinente anotar que para el año 2024, se suscribieron aproximadamente 208 contratos de diferentes modalidades de convocatoria pública como son: licitación pública, selección abreviada, concurso de méritos, subasta, mínima cuantía y contratación directa. En ese orden de ideas el cumulo de competencias, funciones y responsabilidades específicamente en las áreas administrativas, jurídica y contractual en las diferentes dependencias de la administración municipal, sumadas a las crecientes necesidades y demandas sociales, requieren de la conformación de un equipo de trabajo dentro de la estructura de la Secretaria General y de Gobierno con los perfiles y experiencia específica en las materias que son objeto de la contratación, que permitan brindar el apoyo a toda la administración municipal del nivel central del Municipio de Supatá Cundinamarca, tanto en los asuntos ordinarios a través de personal de planta, así como de carácter especializado a nivel jurídico. En tal sentido la ley también prevé la contratación de prestación de servicios profesionales y de apoyo a la gestión cuando no se cuente con personal dentro de la planta de cargos con la experticia, competencia, experiencia específica y especializada, y la formación académica para el efecto, lo cual es viable conforme a lo señalado en artículo 32 Numeral 3 de la Ley 80 de 1993. Teniendo en cuenta los considerandos anteriores, el Municipio de Supatá Cundinamarca, tiene la necesidad de contratar una persona natural para realizar estas actividades, al no contar el municipio con personal de planta suficiente para el desarrollo de las mismas. Debido al volumen de trámites que demandan estos proyectos durante su",$ 11.000.000,"Organizar los archivos de gestión y fondos acumulados de la Administración Municipal de acuerdo a las normas vigentes relacionada con los archivos, durante el cuatrienio / www .supoto-cundinomorco.gov.co / @olcoldío-supoto",POR EL SUPATÁ SOÑADO AVANZAMOS JUNTOS EN LA LÍNEA ESTRATÉGICA INSTITUCIONAL,FORTALECIMIENTO INSTITUCIONAL,2024257770030,generado,admin
Municipio de Supatá,899999398-5,2026-01-30,Secretaría de Desarrollo Social y Comunitario,"PRESTAR LOS SERVICIOS DE APOYO A LA GESTION PARA FORTALECER Y LIDERAR PROCESOS FORMATIVOS ARTISTICOS Y CULTURALES EN LA DISCIPLINA DE DANZAS PARA EL APROVECHAMIENTO DEL TIEMPO LIBRE PARA NIÑOS, NIÑAS, ADOLESCENTES Y ADULTOS EN EL MUNICIPIO DE SUPATA CUNDINAMARCA / www .supoto-cundinomorco.gov.co / @olcoldío-supoto","Que la formación cultural y artística debe ser una prioridad para las Administraciones Municipales, pues en estas áreas se logra generar un núcleo integrador y potencializando de todas las virtudes y talentos de la sociedad, generando procesos de transformación social, sentido de pertenencia, valores culturales, étnicos y morales, contribuyendo al desarrollo social y económico de la comunidad, educando para la conveniencia y parta el reconocimiento de la diversidad cultural. Que dentro de la escuela de formación de danzas permite la participación de la población supateña, generando procesos de integración social a través de la sana convivencia, aportando para la formación integral, desarrollando procesos secuenciales en ritmo, talleres de participación, propiciando el sano esparcimiento, el sentido de pertenencia. Que el Municipio de Supatá brinda un espacio para que los integrantes del proceso formativo se reúnan para prácticas diferentes ritmos, bailes y coreografías, así como para reforzar los conocimientos que van adquiriendo, por lo que se hace necesaria la presencia de un instructor con conocimientos específicos que aporte su conocimiento y experiencia para orientar, dirigir y coordinar los procesos de aprendizaje que gira en torno de las danzas. Que la formación artística debe ser una prioridad para las Administraciones Municipales, pues en estas aéreas se logra generar un núcleo integrador y potencializando de todas las virtudes y talentos de la sociedad, generando procesos de transformación social, sentido de pertenencia, valores culturales, étnicos y morales, contribuyendo al desarrollo social y económico de la comunidad, educando para la convivencia y para el reconocimiento de la diversidad cultural. Que una de las maneras más importantes para lograr este propósito es otorgar a la niñez y a la juventud Colombiana oportunidades para su educación a través de la práctica de la formación artística y la cultura. Que estar físicamente activo tiene importantes beneficios para la salud mental, y alentar a las personas a estar activas podría ayudar a muchos a sobrellevar el estrés continuo y evitar enfermedades psicológicas, la actividad física es una de las fuerzas mas poderosas para mantener la buena salud. Al mejorar el funcionamiento de numerosos sistemas fisiológicos, la actividad física ayuda a prevenir y/o tratar muchas condiciones de salud física y mental.",$ 19.404.000,Mantener las 3 escuelas de formacion cultural durante el cuatrenio / www .supoto-cundinomorco.gov.co / @olcoldío-supoto,POR EL SUPATÁ SOÑADO AVANZAMOS JUNTOS EN LA LÍNEA ESTRATÉGICA SOCIAL,CULTURA,2024257770009,generado,admin
Municipio de Supatá,899999398-5,2026-03-24,Secretaría de Planeación y Obras Públicas,SUMINISTRO DE MATERIALES Y ELEMENTOS DE FERRETERIA PARA EL MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE LOS BIENES INMUEBLES Y EL BANCO DE MATERIALES DEL MUNICIPIO DE SUPATÁ CUNDINAMARCA BAJO EL SISTEMA DE MONTO AGOTABLE Y COTIZACION INDIVIDUAL / www .supoto-cundinomorco.gov.co / @olcoldío-supoto,"En concordancia con lo anterior, y atendiendo las necesidades institucionales del Municipio de Supatá, se evidencia la necesidad de contratar el suministro de elementos de ferretería, con el fin de garantizar el adecuado funcionamiento del Banco de Materiales Municipal, así como la",$ 49.000.000,Implementar el programa anual de Banco de Materiales que une esfuerzos entre la administración municipal y la comunidad para la realización de obras necesarias y de gran impacto social en barrios y veredas.,POR EL SUPATÁ SOÑADO AVANZAMOS JUNTOS EN LA LÍNEA ESTRATÉGICA SOCIAL,"VIVIENDA, CIUDAD Y TERRITORIO",2024257770016,generado,admin
Municipio de Supatá,899999398-5,2026-04-01,Secretaría de Desarrollo Social y Comunitario,“APOYO LOGISTICO PARA EL DESARROLLO DE ACTIVIDADES EN EL MARCO DE LA CELEBRACIÓN DEL DIA DE LA NIÑEZ EN EL MUNICIPIO DE SUPATA CUNDINAMARCA”. / www .supoto-cundinomorco.gov.co / @olcoldío-supoto,"El Municipio de Supatá, en cumplimiento de sus funciones constitucionales y legales orientadas a garantizar el bienestar general de la población, la promoción de la participación ciudadana y el fortalecimiento del desarrollo cultural, recreativo, deportivo e institucional, requiere adelantar un proceso de contratación de mínima cuantía cuyo objeto es “APOYO LOGISTICO PARA EL DESARROLLO DE ACTIVIDADES EN EL MARCO DE LA CELEBRACIÓN DEL DIA DE LA NIÑEZ EN EL MUNICIPIO DE SUPATA CUNDINAMARCA”. El desarrollo de actividades lúdico-recreativas constituye un elemento fundamental para el bienestar integral de los niños y niñas, ya que favorece su desarrollo físico, emocional, social y cognitivo. En el municipio de Supatá, Cundinamarca, se hace necesario fortalecer espacios de sano esparcimiento que contribuyan a la adecuada utilización del tiempo libre, previniendo situaciones de riesgo y promoviendo estilos de vida saludables. La celebración del Día de la Niñez constituye un espacio fundamental para promover el reconocimiento, la protección y el",$ 28.609.046,Realizar 7 eventos deportivos y/o recreativos en el municipio,POR EL SUPATÁ SOÑADO AVANZAMOS JUNTOS EN LA LÍNEA ESTRATÉGICA SOCIAL / www .supoto-cundinomorco.gov.co / @olcoldío-supoto,RECREACION Y DEPROTE,2024257770010,generado,admin
Municipio de Supatá,899999398-5,2026-04-01,Secretaría de Desarrollo Social y Comunitario,ADQUISICIÓN DE INSUMOS NECESARIOS PARA EL FORTALECIMIENTO DE LOS SISTEMAS APÍCOLAS EN EL MUNICIPIO DE SUPATÁ CUNDINAMARCA / www .supoto-cundinomorco.gov.co / @olcoldío-supoto,"El incremento de colmenas permitirá generar impactos positivos en el rendimiento de las cosechas, reflejados en aumentos significativos en la producción agrícola y en la calidad de los frutos. Asimismo, el proyecto busca mejorar las condiciones productivas de los apicultores mediante el suministro de insumos esenciales y la promoción de prácticas sostenibles que garanticen la permanencia de la actividad apícola en el tiempo. De esta manera, se contribuye no solo al fortalecimiento económico de los productores, sino también a la protección del medio ambiente, la conservación de la biodiversidad y el desarrollo rural integral del municipio. Este proyecto se encuentra alineado con lo establecido en la Ley 2193 de 2022, la cual tiene como objetivo promover, proteger y fortalecer la actividad apícola en Colombia, reconociendo la importancia de las abejas y otros polinizadores para la biodiversidad, la producción agrícola y la seguridad alimentaria. Esta ley establece que el Estado debe impulsar políticas, programas y proyectos que apoyen a los apicultores mediante asistencia técnica, capacitación, acceso a financiación y el fortalecimiento de la cadena productiva de la apicultura. Asimismo, la normativa promueve la protección de los ecosistemas donde habitan las abejas, el fomento de buenas prácticas en la producción de miel y otros productos apícolas, así como el registro y control sanitario de los apiarios. Con ello se busca mejorar las condiciones de los productores, promover el desarrollo rural y garantizar la conservación de los polinizadores, fundamentales para la sostenibilidad ambiental y agrícola del país",$ 13.260.000,Apoyar a 20 usuarios en la implementacion de sistemas de producción pecuaria con especies menores.,POR EL SUPATÁ SOÑADO AVANZAMOS JUNTOS EN LA LÍNEA ESTRATÉGICA ECONÓMICA,AGROPECUARIO,2024257770023,generado,admin
Municipio de Supatá,899999398-5,2026-03-30,Secretaría de Desarrollo Social y Comunitario,APOYO LOGISTICO PARA EL DESARROLLO DE ACTIVIDADES EN EL MARCO DE LA CELEBRACIÓN DEL DIA DE LA NIÑEZ EN EL MUNICIPIO DE SUPATA CUNDINAMARCA / www .supoto-cundinomorco.gov.co / @olcoldío-supoto,"El Municipio de Supatá, en cumplimiento de sus funciones constitucionales y legales orientadas a garantizar el bienestar general de la población, la promoción de la participación ciudadana y el fortalecimiento del desarrollo cultural, recreativo, deportivo e institucional, requiere adelantar un proceso de contratación de mínima cuantía cuyo objeto es “APOYO LOGISTICO PARA EL DESARROLLO DE ACTIVIDADES EN EL MARCO DE LA CELEBRACIÓN DEL DIA DE LA NIÑEZ EN EL MUNICIPIO DE SUPATA CUNDINAMARCA”. El desarrollo de actividades lúdico-recreativas constituye un elemento fundamental para el bienestar integral de los niños y niñas, ya que favorece su desarrollo físico, emocional, social y cognitivo. En el municipio de Supatá, Cundinamarca, se hace necesario fortalecer espacios de sano esparcimiento que contribuyan a la adecuada utilización del tiempo libre, previniendo situaciones de riesgo y promoviendo estilos de vida saludables. La celebración del Día de la Niñez constituye un espacio fundamental para promover el reconocimiento, la protección y el",$ 28.609.046,Realizar 7 eventos deportivos y/o recreativos en el municipio,POR EL SUPATÁ SOÑADO AVANZAMOS JUNTOS EN LA LÍNEA ESTRATÉGICA SOCIAL / www .supoto-cundinomorco.gov.co / @olcoldío-supoto,RECREACION Y DEPROTE,2024257770010,generado,admin
Municipio de Supatá,899999398-5,2026-04-08,Secretaría General y de Gobierno,ADQUISICION DE ELEMENTOS PARA EL FORTALECIMIENTO DEL PLAN DE EMERGENCIAS DEL MUNICIPIO DE SUPATÁ CUNDINAMARCA / www .supoto-cundinomorco.gov.co / @olcoldío-supoto,"El Decreto 1072 de 2015 en su artículo 2.2.4.6.25. Prevención, preparación y respuesta ante emergencias establece que “El empleador o contratante debe implementar y mantener las disposiciones necesarias en materia de prevención, preparación y respuesta ante emergencias, con cobertura a todos los centros y turnos de trabajo y todos los trabajadores, independiente de su forma de contratación o vinculación, incluidos contratistas y subcontratistas, así como proveedores y visitantes” Complementando esto, La Resolución 0312 de 2019, establece los estándares 5.1.1 Se cuenta con el Plan de Prevención, Preparación y Respuesta ante emergencias y el estándar 5.1.2 Brigada de prevención conformada, capacitada y dotada, norma que exige que todas las entidades, tanto públicas como privadas, implementen un sistema de gestión de seguridad y salud en el trabajo (SG-SST) que contemple la prevención, atención y manejo de emergencias. Por lo tanto, El Municipio de Supatá Cundinamarca, requiere realizar la presente contratación con el objetivo de adquirir los elementos esenciales para la implementación y",$ 23.319.374,Implementar y,POR EL SUPATÁ SOÑADO AVANZAMOS JUNTOS EN LA LÍNEA ESTRATÉGICA INSTITUCIONAL,FORTALECIMIENTO INSTITUCIONAL,2024257770030,generado,admin
Municipio de Supatá,899999398-5,2026-04-08,Secretaría General y de Gobierno,"SUMINISTRO DE ALIMENTACIÓN PARA EL PERSONAL MÉDICO ACTIVO EN EL PUESTO DE SALUD VINCULADO AL PROGRAMA ""MÉDICO EN TU TERRITORIO, CUIDANDO TU SALUD"", Y EL SUMINISTRO DE ALIMENTACIÓN PARA LAS PERSONAS PRIVADAS DE LA LIBERTAD DEL MUNICIPIO DE SUPATÁ, CUNDINAMARCA, BAJO LA MODALIDAD DE MONTO AGOTABLE Y COTIZACIÓN INDIVIDUAL. / www .supoto-cundinomorco.gov.co / @olcoldío-supoto","Es necesario para el Municipio de Supatá Cundinamarca contratar la alimentación para las personas privadas de la libertad que se encuentran detenidas, toda vez que la sentencia SU122 DE 2022 de la Corte Constitucional de Colombia es una decisión importante que amplía la declaratoria de estado de cosas inconstitucional al problema del hacinamiento y las deficientes condiciones de detención no solo en las cárceles y penitenciarías, sino también en los centros de detención transitoria (por",$ 5.000.000,Garantizar anualmente el suministro de alimentación a las personas privadas de la libertad / www .supoto-cundinomorco.gov.co / @olcoldío-supoto,POR EL SUPATÁ SOÑADO AVANZAMOS JUNTOS EN LA LÍNEA ESTRATÉGICA INSTITUCIONAL,JUSTICIA Y SEGURIDAD CIUDADANA,202500000008965,generado,admin
